alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Chorizo vegetariano,15.0,15.0,74.0,2.5,5.9,1.6,0.0,0.0,0.0,,,0.5,1.1,0.0,0.0,grasas,15.0,g,0.0,9e-07,0.0,0.041600000000000005,0.005200000000000001,0.0,0.0,0.0,0.0,0.0
Coroso,14.0,12.0,70.0,2.1,3.3,2.3,0.0,0.0,0.0,,,1.2,3.9,0.0,0.0,grasas,14.0,g,0.0,0.0,0.0,0.0,0.0,0.055700000000000006,0.1063,0.0209,0.0,0.0
Crema de almendras,12.0,20.0,69.0,4.0,4.9,3.5,0.0,0.0,0.0,,,0.7,1.9,0.0,0.0,grasas,1.0,cda,0.0,0.0,0.0,0.042,0.03,0.08070000000000001,0.1536,0.0079,0.0,0.0
Crema de nuez de la India,11.0,11.0,66.0,2.2,5.7,2.5,0.0,0.0,0.0,,,0.6,0.8,0.0,0.0,grasas,1.0,cda,0.0,0.0,0.0,0.0067,0.0003,0.079,0.0008,0.0,0.0,0.0
"Falafel, hecho en casa",20.0,20.0,67.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harina de ajonjolí,13.0,13.0,69.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,13.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harina de ajonjolí baja en grasas,20.0,20.0,67.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harina de almendras,11.0,11.0,66.0,2.2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,11.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harina de cacahuate,15.0,15.0,65.0,5.1,3.3,4.8,0.5,1.7,0.0,,,0.0,0.0,0.0,0.0,grasas,15.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harina de cacahuate desgrasada,20.0,20.0,66.0,10.6,0.1,7.0,0.0,0.1,0.0,,,0.0,0.0,0.0,0.0,grasas,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hummus de garbanzo,20.0,20.0,67.0,2.7,3.5,6.4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kikwaté Sabritas jóvenes,15.0,15.0,74.0,2.4,4.2,6.6,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,15.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kikwaté Sabritas Salado,10.0,10.0,60.0,2.0,5.2,1.2,0.0,0.7,0.0,,,0.0,0.0,0.0,0.0,grasas,10.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mantequilla de cacahuate cdita,2.0,2.0,11.0,2.6,4.8,2.3,1.0,0.8,0.0,,,0.0,0.0,0.0,0.0,grasas,2.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mazapán sin azúcar,1.0,1.0,25.0,3.5,6.8,4.3,0.0,2.3,0.0,,,1.5,1.0,1.9,1.9,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nueces mixtas,1.0,1.0,12.0,2.0,7.0,1.3,1.3,0.9,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
